,ngram,annotated hyponyms
112,sandwich,n07697825 n07697313 n07696728 n07696625 n07698543 n07698401 n07865105 n07697699 n07696977 n07698250 n07698672 n07695965 n07698782 n07697100 n07696839 n07696527 n07697537 n07697408
113,farm,n03935234 n04052442 n03323096 n03159535 n04188064
114,ladder,n03591116 n04142327
115,plane,n02867715 n03215191 n03809312 n03595860 n04308273 n02690373 n02842573 n04222723 n03174079 n03490784 n03365231 n04583620 n03373611 n03604311 n04012084 n03596543 n02691156 n03577672 n03783873 n04160586 n04308397 n03321419 n02704645 n04012482 n02686121 n03798610 n04230487 n04389999 n03335030 n04503499 n04062644
117,cell phone,n02992529
118,paper clip,n03886762
119,tomato,n07734417 n07734292 n07734183 n07734017
120,coat,n03770954 n04365229 n03221540 n02820675 n03254046 n03844815 n03398228 n04003359 n03238286 n04455579 n02937010 n02957008 n04230387 n04506402 n04049405 n03219966 n02925385 n03226375 n03751269 n02921406 n02867966 n03057841 n03301175 n03057021 n03604536 n03595264 n03891051 n03902756 n03548320 n02850358 n04222307 n04123448 n03456665 n03228254 n04123026 n03829857 n03589791 n03703463 n04363777 n02885233 n04187970 n03630383 n04479046 n04122492 n04368496 n03720005 n02788462 n03696909 n02864504 n03404251
122,switch,n03078670 n04438643 n04169437 n03537412 n04445952 n04027023 n03561169 n03186818 n04079106 n02826589 n04428008 n03204558 n03153948 n03824197 n03793850 n03222516 n04372370 n03883054
123,truck,n03648667 n03345487 n03690473 n03896419 n04520170 n04490091 n03173929 n04467665 n02871314 n04474035 n03770679 n03796401 n03977966 n03417042 n03632852 n04461696 n03884639 n03256166 n04465666 n03930630 n03764822
124,sailboat,n04128499 n04483307 n02981792 n02982416
125,basket,n03129848 n03883385 n03050864 n03482405 n03378342 n04227050 n02893608 n02801938 n03390673 n04582349 n04024862 n04204238 n02925009
126,egg,n01461315
128,wine,n07893425 n07891726 n07899434 n07896661 n07897865 n07894102 n07896165 n07896765 n07895962 n07900406 n07899292 n07896560 n07896060 n07899108 n07898333 n07900825 n07894298 n07895595 n07913300 n07898117 n07896422 n07896287 n07897116 n07895237 n07894799 n07926920 n07899533 n07895710 n07899660 n07893792 n07893528 n07899899 n07901457 n07897200 n07900225 n07895100 n07895839 n07896893 n07895435 n07899769 n07894551 n07898895 n07927070 n07897975 n07892512 n07897600 n07894451 n07897438 n07898247 n07893253 n07900734 n07894703 n07892418 n07894965 n07899003 n07898617 n07897750 n07900616 n07893891 n07898443 n07893642 n07901355 n07900958 n07898745 n07896994 n07899976 n07892813
131,paper,n15075141 n14975598 n14974264 n04033425
132,keyboard,n04036303 n04505470 n03928814 n03085013 n03614007
134,backpack,n02769748 n03619793
135,window,n03211789 n02976455 n03932080 n04587648 n03637898 n04232800 n04110178 n03224603 n04297750 n04239333 n03692842 n03986562 n04473108 n03227010 n03224753 n03320959 n03855333 n02813399 n04137089 n04329958 n03227184 n03841290 n03041810 n03952150 n03868324
136,dad,n09988063
137,coffee,n07919894 n07919787 n07920540 n07920663 n07920222 n07920052 n07929940 n07929519 n07919441 n07921239 n07731284 n07919572 n07731436 n07920349 n07731122 n07920872 n07919665
138,sword,n04121511 n04054361 n03327691 n02771750 n03318865 n03039493 n04373894 n02987492 n03292475 n03153246 n04147793 n03375575 n02904640
139,food,n07873679 n07816575 n07827410 n07695504 n07839864 n07835173 n07642471 n07856186 n07874780 n07801709 n07566340 n07803310 n07806774 n07849733 n07564971 n07828275 n07556872 n07822845 n07910152 n07695652 n07857959 n07628181 n07890890 n07834618 n07883510 n07907831 n07820683 n07596452 n07598622 n07690511 n07929940 n07590611 n07854066 n07893253 n07938594 n07813495 n07853560 n07693439 n07890970 n07886849 n07590320 n07700003 n07914777 n07823105 n07601686 n07602650 n07857356 n07878479 n07867164 n07604956 n07916319 n07826091 n07868340 n07894703 n07873807 n07586179 n07591162 n07827130 n15091304 n07689624 n01035504 n07898745 n07896560 n07931280 n07894298 n07592400 n07895595 n00021265 n07853445 n07837110 n07855510 n07800636 n07689842 n07613671 n07853852 n07616906 n07575726 n07680168 n07692248 n07871065 n07582441 n07904637 n07818995 n07875835 n07859284 n07915213 n07879659 n07590752 n07684600 n07567039 n07835921 n07921834 n07732525 n07906718 n07871234 n07895237 n08385989 n07828041 n07933652 n07874259 n07606191 n07591473 n07560422 n07892512 n07584423 n07914995 n15092409 n07563642 n07908812 n07807922 n07926346 n07605380 n07862770 n07935504 n07887461 n07710952 n07802417 n07588419 n07732636 n07916183 n07897600 n07851554 n07687381 n07895839 n07680655 n07582277 n07927512 n07935737 n07585758 n07816296 n07890750 n07909129 n07882886 n07611267 n07585997 n07600506 n07585474 n07569644 n07697699 n07610746 n07691539 n07813107 n07600895 n07929519 n07681805 n07932039 n07847453 n07621497 n07852833 n07897750 n07937461 n07835457 n07909593 n07886572 n07848771 n07814790 n07938149 n07841495 n07817758 n07892813 n07834065 n07679140 n07684517 n07845166 n07835547 n07565945 n07829412 n07562017 n07800740 n07586718 n07588193 n07584110 n07934032 n07616590 n07711080 n07842753 n07568502 n07928367 n07907037 n07904293 n07878785 n07878926 n07924366 n07591330 n07605040 n07867751 n07834286 n07897116 n07693048 n07704054 n07864638 n07863374 n07900225 n07593199 n07887192 n07934373 n07643306 n07613815 n07681450 n07816839 n07625324 n07900958 n07574426 n07812046 n07841345 n07815839 n07820960 n07883031 n07822518 n07814390 n07863547 n07890068 n07563207 n07858336 n07854813 n07570021 n07854184 n07563800 n07666176 n07823591 n07697408 n07587962 n07693590 n07591236 n07847047 n07586099 n07819303 n07600177 n07878647 n07612137 n07614103 n07913393 n07849336 n07591049 n07643891 n07598734 n07818133 n14900342 n07643981 n07835823 n07832099 n07856895 n07919441 n07822323 n07822687 n07893891 n07889990 n07863229 n07596967 n07612530 n07575984 n14900184 n07820814 n07594840 n07915618 n07682952 n07568625 n07858484 n07896422 n07874159 n07866409 n07930205 n07845863 n07595914 n07704205 n07851767 n07584938 n07877187 n07568818 n07808352 n15092751 n07928998 n07865788 n07840124 n07910538 n07643577 n07930554 n07580359 n07815956 n07836269 n07562651 n07587206 n07906284 n07856045 n07873348 n07803093 n07680416 n07875152 n07589543 n07913882 n07925608 n07599783 n07864756 n07566231 n07648913 n07609728 n07907548 n07808587 n07585644 n07599911 n07907943 n07927070 n07561590 n07812662 n07808166 n07624466 n07860103 n07839172 n07594250 n15089803 n07866868 n07820297 n07887099 n07590502 n07804543 n07823369 n07618029 n07933799 n07688265 n07809096 n07824502 n07873057 n07874063 n07807171 n07918193 n07596160 n07695284 n07831450 n07580053 n07842130 n07595751 n07934678 n07896060 n07601175 n07926250 n07888058 n07841639 n07921090 n07825597 n15090238 n07588299 n07858197 n07888465 n07909504 n07895435 n07869775 n07801091 n07867021 n07576438 n14582716 n07925500 n07862946 n07610890 n07875693 n07909811 n07826544 n07911677 n07698401 n07581775 n07896165 n14899328 n07585906 n07682197 n07852376 n07807472 n07926920 n07849506 n07600394 n07805594 n07697100 n07617344 n07879953 n07879174 n07848936 n07586604 n07847585 n07616748 n07876281 n07612273 n07599161 n07883384 n07588947 n07852045 n07900406 n07557434 n07830986 n07916041 n07585015 n07880880 n07582152 n07839593 n07588688 n07690585 n07860988 n07608098 n07938313 n07614825 n07918706 n07615569 n07593471 n07924655 n07594155 n07648997 n07861813 n07848196 n07821758 n07845702 n07613266 n07817160 n07874674 n07830690 n07899292 n07900825 n07846014 n15092227 n07618432 n07684084 n07879560 n07609215 n07935152 n07579787 n07592317 n07840395 n07862095 n07826653 n07556637 n07928488 n07605597 n07917951 n07896994 n07861334 n07838233 n07711232 n07579688 n07805731 n07583197 n07852712 n07860447 n07888909 n07889274 n07595180 n07601809 n07599468 n07663899 n07929172 n07895962 n07608866 n07899899 n07910970 n07687211 n07680313 n07855413 n07904760 n07917618 n07859951 n07606538 n07608339 n07599383 n07862461 n07845495 n07886317 n07860331 n07687789 n07868955 n07928696 n07695410 n07615289 n07825972 n07890540 n07839055 n07831955 n07909231 n07900734 n07619881 n07922607 n07641928 n07683360 n07910379 n07620689 n07836838 n07806879 n07607707 n07685303 n07865700 n07569873 n07708512 n07685218 n07837362 n07849619 n14919819 n15091669 n07801342 n07856756 n07685546 n07588111 n07842605 n07875560 n07918309 n07936548 n07924560 n07855317 n07843464 n07861247 n07573563 n07643200 n07684422 n07682624 n07837630 n07695187 n07932323 n07593774 n07866571 n07934152 n07802767 n07617447 n07860629 n07680517 n07685399 n07846471 n07814007 n07937344 n07877299 n07825194 n07843348 n07804900 n07922147 n07616487 n07868830 n07908923 n07609840 n07810907 n07935043 n07896661 n07802963 n07599242 n07840219 n07843775 n07610502 n07851926 n07908567 n07691863 n07610295 n07925966 n07683786 n07689313 n07881117 n15092059 n07611148 n07840304 n07755089 n07620047 n07599649 n07574780 n07599068 n07576577 n07857170 n07852532 n07655067 n07808806 n07594737 n07688624 n07869611 n07858978 n07875086 n07846938 n07864198 n07694516 n07846688 n07851641 n07564796 n07883661 n07905474 n07804771 n07597145 n07829248 n07567980 n07807834 n07871810 n07912211 n07842044 n07599998 n07688021 n07938007 n07609316 n07825717 n07922764 n07894799 n07695878 n07807594 n07643474 n07857731 n07861681 n07683490 n07892418 n07595649 n07601290 n07879821 n07685031 n07899976 n07593004 n07573103 n07574176 n07816164 n07936459 n07919310 n07903208 n07842433 n07562495 n07710616 n07876893 n07894451 n07849186 n07836077 n07881525 n07910245 n07922955 n07606058 n07899434 n07913644 n07854614 n07606764 n07852919 n07693889 n07869111 n07696625 n07831663 n07838659 n07821610 n07804323 n07889814 n07767549 n07876189 n07902520 n07614348 n07585557 n07712856 n07926540 n07867616 n07572957 n07921360 n07816398 n07619409 n07834774 n07570720 n07608980 n07609083 n07913774 n07916437 n07835701 n07617708 n07910656 n07860208 n07867324 n07690739 n07683617 n05399243 n07687469 n07845571 n07832307 n07697825 n07584859 n07863935 n07837234 n07565725 n07851298 n14583400 n07870620 n07694839 n07869291 n07600285 n07897200 n07598256 n07672914 n07560542 n07870478 n07564101 n07818825 n07572858 n07556970 n07921948 n07731952 n07561848 n07855105 n07925708 n07902799 n07642742 n07819769 n07868508 n07576182 n07628068 n07685918 n07825850 n07914271 n07611733 n07922041 n07817024 n07872748 n15089472 n07583066 n07830493 n07619004 n07679034 n07688898 n07826930 n07902121 n07574504 n07884567 n07600696 n07897865 n07894102 n07807710 n07581346 n07866015 n07844604 n07822053 n07686873 n07926785 n07844786 n07844042 n05399034 n07858841 n07596046 n07883156 n07805966 n07631926 n07563366 n07930433 n07875267 n07866723 n07585107 n07831146 n07696977 n07689003 n07902336 n07712382 n07873198 n07617526 n07614500 n07866151 n07886463 n07711799 n07928887 n07911061 n07691650 n07847917 n07852614 n15091129 n07805254 n07833672 n07605944 n07685118 n07568241 n03994417 n07911371 n07869522 n07862244 n07583978 n07865105 n07831821 n07837002 n07582811 n07833951 n07805478 n07685730 n07690019 n01035667 n07731284 n07924747 n07588817 n07586894 n07845775 n07823814 n07607492 n07818689 n07847198 n07815588 n07813324 n07650792 n07836456 n07855907 n07803895 n07607027 n07824702 n07586318 n07876775 n07688130 n07824191 n07880080 n07909362 n07936093 n07565161 n07803992 n07927836 n07882497 n07901457 n07870069 n07903841 n07856270 n07899769 n07859796 n07731122 n07932454 n07598928 n07580592 n07870313 n07820497 n07934530 n07568389 n07851443 n07687053 n07926442 n07931733 n07572353 n07615460 n07562379 n07686202 n07606669 n07893792 n07830593 n07935379 n07828156 n07560652 n07587023 n07605804 n07696728 n07901587 n07804152 n07823698 n07832902 n07875926 n07889193 n07562881 n07825496 n07802246 n07587819 n07904072 n07566863 n07907161 n07917392 n07913300 n07844867 n07564292 n07711569 n07905296 n07596566 n07883251 n07881205 n07824863 n07918028 n07924443 n07813579 n07847827 n07734879 n07711683 n07877961 n07598529 n07842972 n07916582 n07568991 n07852302 n07893528 n07924834 n07561112 n07560903 n07853125 n07934800 n07885705 n07871436 n14720833 n07591813 n07592481 n07808479 n07819480 n07899533 n07921239 n07891189 n15092942 n07867421 n07575226 n07867883 n07569423 n07577538 n07564629 n07573696 n07567707 n07842202 n07822197 n07609632 n07863802 n07841037 n07917507 n07592656 n07614730 n07914413 n07913537 n07864317 n14941787 n07928264 n07908411 n07703889 n07815294 n07587111 n07854266 n07816726 n07838905 n07619508 n07845421 n07880968 n07587700 n07917272 n07912093 n07698543 n07806043 n07861557 n07607361 n07848338 n07689490 n07808268 n07893642 n07921615 n07880325 n07607138 n07931870 n07909714 n07597365 n07898895 n07836600 n07865196 n07686634 n07821919 n07911249 n07801892 n07870734 n07846274 n07601572 n07915491 n07594066 n07683138 n07698250 n07812790 n07582970 n07834160 n07888816 n07813833 n07731436 n07906572 n07758582 n07572616 n07575392 n07613158 n07712559 n07936745 n07576969 n07575076 n07903101 n07869937 n07584228 n07581249 n07678953 n07847706 n07842308 n07864065 n07564515 n07924033 n07919787 n07606278 n07819166 n07843220 n07704305 n07802152 n14810561 n07850083 n07819896 n07849912 n07694403 n07919894 n07830841 n07876460 n07915366 n07682808 n07697313 n07612632 n07612996 n07617188 n07933154 n07932762 n07876550 n07595051 n07928163 n07601407 n07930062 n07678729 n07592922 n07689757 n07843117 n07920222 n07857598 n07684164 n07889510 n07697537 n07686299 n07578093 n07806120 n07936015 n07914887 n07927197 n07837912 n07832741 n07620597 n07829331 n07840520 n07692405 n07566092 n07589458 n07868200 n07643764 n07855721 n07854348 n07644244 n07897975 n07833333 n07846359 n07896893 n07886057 n07904865 n07801007 n07819682 n07828378 n07696839 n07621264 n07840027 n07824268 n07826340 n07826453 n07932841 n07861983 n07924955 n07838551 n07686720 n07927716 n07730320 n07597263 n07862611 n07817599 n05399356 n07922512 n07593972 n07625061 n07807002 n07823280 n07865575 n01464844 n07615954 n07801779 n07817315 n07817465 n07812184 n07921455 n07841907 n07840672 n07773428 n07841800 n07836731 n07617051 n07607832 n07812913 n07808022 n07785487 n07695965 n07835051 n07767709 n07859583 n07876026 n07863107 n07807317 n07910048 n07854455 n07655263 n07881404 n07935878 n07874531 n07617611 n07609549 n07845087 n07808675 n07800487 n07870167 n07919572 n07610620 n07593107 n15089645 n07608245 n07590177 n07643026 n07868045 n07691237 n07933891 n07567139 n07925229 n07816052 n07589967 n07871335 n07611358 n07806633 n07896287 n15093298 n07690431 n07712748 n07860548 n07828642 n07905979 n15090742 n07618587 n07818572 n07624666 n07832416 n07882420 n07681355 n07814925 n07815163 n07878283 n07827896 n07596362 n07937069 n07893425 n07890352 n07914586 n07818277 n07565608 n07580470 n07898117 n07624924 n07874995 n07680932 n07579575 n07920663 n07936979 n07599554 n07903731 n07618684 n07898443 n07823951 n07698672 n07914006 n07732302 n07650903 n07886176 n07732433 n07805389 n07915918 n07872593 n07915800 n07905038 n07681926 n07853946 n07862348 n07903962 n07825399 n07592094 n07871720 n07643679 n07854707 n07906111 n07903543 n07853345 n07601025 n07683265 n07587331 n07606933 n07928578 n07582609 n07917133 n07803408 n07584332 n07616386 n07874441 n07624757 n07894551 n07925116 n07592768 n07931612 n07642361 n07615052 n07577772 n07808904 n07689217 n07567611 n07875436 n07846557 n15089258 n07620327 n07908647 n07845335 n07927931 n07569106 n07581931 n07582892 n07591586 n14867545 n07693725 n07556406 n07612367 n07774479 n07574923 n07665438 n07562984 n07920989 n07920872 n07587618 n07814203 n07590068 n07613480 n07834507 n07904395 n07569543 n07923748 n07682316 n07619208 n07686021 n07906877 n07848093 n07605474 n07877675 n07574602 n07623136 n07876651 n07869391 n07932614 n07898617 n07608533 n07579917 n07802026 n07879072 n07627931 n07839478 n07880458 n07690892 n07834872 n07577657 n07691758 n07591961 n07936263 n07919665 n07873464 n07835331 n07909954 n07654148 n07576781 n07692887 n07557165 n07617839 n07692114 n07827554 n07560193 n07858595 n07614198 n07583865 n07931001 n07870894 n07855812 n07924276 n07684289 n07573453 n07934282 n07562172 n07803545 n07821404 n07915094 n07866277 n07611046 n07692517 n07930315 n07590974 n07821260 n07686461 n07859142 n07595368 n07864475 n07608641 n07596684 n07608721 n07811416 n07611991 n07837755 n07565083 n07611839 n07617932 n07802863 n07860805 n07681264 n07619301 n07887304 n07824383 n15093049 n07902698 n07815424 n07813717 n07732168 n07767344 n07900616 n07871588 n07855603 n07838441 n15091846 n07898247 n07854982 n07902443 n07846802 n07691091 n07878145 n07874343 n07823460 n07880213 n07891433 n07852452 n07907429 n07682477 n07821107 n07856992 n07838811 n07920052 n07615774 n15090065 n07695742 n07694169 n07919165 n07820145 n07589724 n07589872 n07901355 n07905386 n07832202 n07642933 n07891726 n07615671 n07582027 n07839730 n07896765 n07837545 n07863644 n07877849 n07898333 n07930864 n07828987 n07917791 n07581607 n07879450 n07827284 n07827750 n07887967 n07585208 n07584593 n07843636 n07839312 n07934908 n07654298 n07801508 n07887634 n07850219 n07605693 n07890226 n07800091 n15092650 n07891309 n07914128 n07818422 n07814487 n07608429 n07694659 n07693972 n07910799 n07895710 n07616174 n07616265 n07833535 n07620145 n07711371 n07913180 n07925808 n07577374 n07920349 n07565259 n07833816 n07577144 n15093137 n07850329 n07920540 n07826250 n07709881 n07879350 n07560331 n07698782 n07899108 n07804657 n07853232 n07684938 n07840804 n07917874 n07691954 n07564008 n07573347 n07857076 n15091473 n07852229 n07618281 n07925327 n07858114 n07809368 n07853648 n07914686 n07806221 n07931452 n07803779 n07925423 n07688412 n07690273 n07803213 n07651025 n07568095 n07918879 n07838073 n07890617 n07831267 n07937621 n07696527 n07933274 n07575510 n07897438 n07607605 n07888229 n07577918 n07586485 n07933530 n07881800 n07616046 n07880751 n07688757 n07683039 n07902937 n07708685 n07615190 n07783827 n07609407 n07618871 n07935288 n07607967 n07904934 n07899660 n07696403 n07895100 n07907342 n07618119 n07855188 n07846143 n07864934 n07587441 n07832592 n07865484 n07678586 n07580253 n07588574 n07824988 n07567390 n07726525 n07868684 n07605282 n07605198 n07849026 n07693223 n14973585 n07712959 n07690152 n07899003 n07570530 n07818029 n07903643 n07687626 n07606419 n07805006 n07928790 n07681691 n07679356 n07891095 n07590841 n07905770 n07861158 n07931096 n07853762 n07680761 n07642833 n07692614 n07905618 n07894965 n07881625 n07810531
140,Brother,n10267311 n10654321
141,giraffe,n02439033 n02439398
142,snake,n01755581 n01737728 n01736375 n01734808 n01748906 n01748264 n01740885 n01751472 n01756089 n01746952 n01730812 n01726692 n01730960 n01742447 n01732614 n01730307 n01738601 n01741442 n01749244 n01727646 n01748389 n01752736 n01749939 n01733757 n01743936 n01747589 n01754370 n01729672 n01735439 n01742821 n01742172 n01747885 n01758141 n01751036 n01739647 n01756508 n01744270 n01744401 n01740551 n01730185 n01740131 n01747285 n01732244 n01733214 n01737021 n01748686 n01750167 n01757343 n01735577 n01731764 n01741562 n01753032 n01756916 n01731137 n01731277 n01733957 n01752165 n01732093 n01728572 n01731941 n01738065 n01735189 n01754533 n01744555 n01753488 n01732989 n01728920 n01738731 n01744100 n01753959 n01751748 n01746191 n01735728 n01745902 n01738306 n01734637 n01736032 n01743086 n01729977 n01730563 n01733466 n01755952 n01734104 n01757115 n01754876 n01737472 n01736796 n01743605 n01757901 n01728266 n01731545 n01755740 n01752585 n01739094 n01749582 n01753180 n01746359 n01745484 n01749742 n01757677 n01729322 n01741943 n01741232 n01739381 n01751215 n01756733 n01739871 n01737875 n01732789 n01745125 n01750743 n01756291 n01734418 n01750437
145,bread,n07682316 n07695504 n07684600 n07688412 n07682477 n07690273 n07688624 n07682197 n07685118 n07686720 n07685031 n07695410 n07683138 n07680932 n07686021 n07695742 n07694169 n07691650 n07694516 n07681450 n07687789 n07683360 n07690739 n07685546 n07683617 n07687469 n07680416 n07684422 n07685303 n07685730 n07690892 n07695652 n07871810 n07688757 n07690019 n07691758 n07683039 n07688021 n07685218 n07686202 n07694839 n07690511 n07693590 n07695878 n07690585 n07687381 n07680655 n07681926 n07692114 n07683490 n07689757 n07692887 n07694403 n07684289 n07695187 n07693439 n07688130 n07683265 n07682808 n07682624 n07684084 n07694659 n07693972 n07692517 n07685918 n07691539 n07680517 n07686461 n07688265 n07680761 n07681805 n07685399 n07691091 n07691237 n07693048 n07690152 n07688898 n07684164 n07695284 n07689217 n07687053 n07686299 n07689624 n07681691 n07679356 n07681264 n07686873 n07682952 n07684938 n07684517 n07693889 n07689490 n07692405 n07691954 n07690431 n07689842 n07693725 n07691863 n07687211 n07683786 n07680313 n07689313 n07692614 n07680168 n07692248 n07687626 n07686634 n07681355 n07689003 n07875835 n07693223 n07875693
147,drop,n13901858
148,Milk,n07847047 n07845702 n07846359 n07846557 n07844786 n07846274 n07845166 n07844042 n07921360 n07845335 n07846014 n07846938 n07846471 n07846802 n07846688 n07845421 n07845495 n07846143 n07845775 n07845863 n07845571
150,windmill,n04587559
151,house,n03465605 n04258438 n04125541 n02919792 n02695627 n03635032 n04073948 n03686924 n03474352 n02667379 n03257210 n03878066 n04535524 n04005197 n04535252 n03877845 n04255899 n04535370 n04354026 n03166514 n03685486 n03713151 n03439348 n04202142 n03002816 n02667478 n03892557 n03685640 n02814338 n02932400 n03718935 n03719053 n03428090 n04131368 n03396580 n03118969 n04052658 n03180865 n04305323 n03718458 n03781244 n03219483 n03010915 n03544360 n04115256 n02907873 n02820085 n03685820 n03099454 n03367321 n03158186 n03322836 n03007297 n02857477 n04413969 n04465050 n04079244 n03121040
152,fish,n02592734 n01491661 n02579762 n02589316 n02649218 n02546627 n02564270 n01447946 n02522722 n02608547 n01444339 n01445429 n02630281 n02653497 n01447658 n02528163 n02659808 n02601344 n02599958 n02619165 n02596381 n02610980 n02532918 n02599557 n02645538 n02519148 n02621908 n02520147 n02657368 n02562315 n02661473 n02550655 n02537085 n02569484 n02629230 n02627835 n02614482 n01491361 n02530052 n02536165 n02563648 n01456454 n01443537 n01449374 n02519340 n01481331 n02544274 n02534165 n02655523 n02525382 n02548247 n02649546 n01486838 n02587051 n01443243 n02598573 n02598878 n02597818 n02591911 n02601767 n02568087 n01440467 n02662559 n02630615 n02630739 n02580830 n01489709 n02517442 n02602405 n02537525 n02530421 n02538985 n02607862 n02518324 n01482330 n02648625 n02608996 n01496331 n01445593 n02586238 n02563949 n02549989 n02663849 n02662993 n01486540 n02557909 n02598134 n02657694 n02570484 n02526818 n01484562 n02652132 n01494041 n02556373 n01446589 n02624551 n02653145 n02512938 n02613820 n02566665 n02561108 n01498041 n02588945 n01483830 n02606751 n02558206 n02651060 n02547014 n01495006 n02622547 n02594942 n01492569 n02548884 n02614653 n02567334 n01501948 n02623445 n02520525 n02583567 n02660208 n02638596 n02524202 n02530999 n02636170 n02526121 n02629716 n02635580 n02554730 n02606384 n01449712 n02513248 n02614140 n02534559 n02551134 n01492357 n01446760 n02632494 n02633677 n02590987 n02581108 n02650541 n02549248 n02635154 n02575325 n02512830 n02571167 n02513560 n01438581 n02626089 n02549376 n02640242 n02587618 n01442450 n02547733 n02513805 n02606052 n02605936 n01455778 n01494882 n02661017 n02559144 n02589623 n02596720 n02637475 n02658531 n02584449 n02595339 n01499732 n02658811 n01497118 n02516776 n02523877 n02600503 n01453742 n01453475 n01442972 n02618513 n02640626 n02569631 n02602059 n02625612 n02624807 n02631628 n02641379 n02597608 n02579303 n02660640 n02564935 n02631041 n01497738 n02614978 n02516188 n01454545 n01488038 n02639087 n02599347 n02538216 n02525703 n02617537 n02593453 n02542432 n02593679 n02601921 n02563182 n02519686 n02576575 n02618094 n02616128 n02650050 n01484850 n01481498 n02612167 n02611561 n01491006 n02539894 n01456756 n01451863 n02607470 n01439514 n01482071 n02599052 n02537716 n02532786 n01495701 n01500091 n02513355 n02595056 n02631475 n02542017 n02662825 n01484097 n02626265 n02626762 n02637179 n01483021 n02527057 n01494475 n01480516 n02600298 n02570838 n02665250 n01429172 n02644360 n02519862 n02520810 n02535163 n02515713 n02624987 n02536864 n02536456 n02532602 n02582721 n01440160 n01484447 n01492860 n02595702 n01443831 n02626471 n02613572 n02512752 n02565072 n02558860 n02659478 n02653786 n02541687 n02607201 n02593191 n02577952 n01454856 n02664642 n02588286 n02604954 n02512053 n01492708 n02633422 n02644665 n02535258 n01438208 n02655848 n02539573 n02664285 n01500854 n02557182 n02660091 n01457407 n02527622 n02624167 n02532272 n01490112 n02652668 n02557318 n02550203 n02659176 n01453087 n02587479 n01498699 n02581957 n02561381 n02562971 n01490670 n02631775 n02662239 n02610664 n02636854 n02577662 n02654112 n02662397 n02620167 n02523427 n02603862 n02600798 n02561937 n02538562 n02559862 n02572484 n01457082 n02625851 n02570164 n02618827 n02562796 n02633977 n01486010 n02550460 n02621258 n02597004 n02574910 n02560110 n02578233 n02530637 n02575590 n02640857 n02592055 n01448594 n01501777 n01450950 n02590702 n01500476 n01483522 n01456137 n01493829 n01484285 n01487506 n02628062 n02628600 n02642644 n01441117 n02522637 n02568447 n02574271 n02588794 n01448291 n02589062 n02586543 n02616397 n02584145 n02585872 n02597972 n02514041 n01440242 n01441425 n02632039 n01491874 n02591613 n02540983 n02596252 n02611898 n02576223 n01446152 n01452345 n02559383 n02533545 n02567633 n02604480 n02636405 n02656032 n01495493 n02625258 n02603317 n02609823 n01447139 n02580679 n01489501 n01447331 n02645953 n02565324 n02593019 n02569905 n02561803 n02646892 n02636550 n02530831 n02539424 n01457852 n02533209 n02643112 n02643836 n02648035 n02579557 n02552171 n02530188 n02545841 n02663485 n02658079 n02645691 n02557591 n01448951 n02644501 n01449980 n02531625 n02619861 n02553028 n02576906 n01502101 n02578771 n01498989 n02538406 n02522866 n02546028 n02535080 n02513727 n01439808 n02564403 n02527271 n02655020 n02608284 n02590094 n02542958 n01451115 n02577041 n02578454 n02639922 n01480880 n02582220 n01488918 n02619550 n01493541 n02602760 n02581482 n02648916 n01455461 n01440764 n02634545 n02660519 n02650413 n02643566 n02637977 n02631330 n02597367 n02571652 n02610066 n02523110 n02566109 n02582349 n02654425 n02546331 n02557749 n01501160 n02551668 n02604157 n02661618 n02573249 n02622712 n02646667 n02628259 n02589196 n02572196 n02519472 n02532028 n02579928 n02580336 n01451426 n02573704 n02605703 n02538010 n02622249 n02610373 n02566489 n02532451 n02591330 n02622955 n02642107 n01501641 n02535537 n02564720 n02522399 n02656301 n02521646 n02526425 n02541257 n02627532 n02644113 n02613181 n01490360 n01439121 n02644817 n02639605 n01444783 n01450661 n02581642 n02663211 n02654745 n02556846 n02555863 n02656670 n02543255 n02578928 n02587877 n02565573 n02537319 n01498406 n02589796 n02627292 n01489920 n01485479 n02533834 n02563079 n01499396 n01494757 n02518622 n02627037 n02513939 n02561661 n02563792 n02587300 n02616851 n02524524 n02577403 n02607072 n01455317 n02543565 n02620578 n02535759 n02608860 n02603540 n02615298 n02656969 n02515214 n02592371 n02596067 n02524659 n02590495 n02534734 n02571810 n01493146 n02568959 n02529772 n01497413 n02531114 n02583890 n02605316 n02577164 n01441910 n01445857 n02524928 n02517938 n01441272 n01316579 n01442710 n02548689 n02529293 n02594250 n02561514 n02540412 n02609302 n01451295 n02643316
153,spider,n01772664 n01775370 n01774750 n01775062 n01772222 n01773797 n01775730 n01774384 n01773157 n01773549 n01774097
154,hot air balloon,n03541923
155,zebra,n02391234 n02391049 n02391373 n02391508
156,cathedral,n02984061 n03772077
157,girl,n09905530 n10247358 n10791115 n10117851 n10715030 n10095420 n10129338 n10129825 n10745770 n09827363 n09936825 n10592049 n10119609 n10539160 n09919451 n10282482
158,harp,n02682407 n03699280 n03495258
159,skyscraper,n04233124
